full_name,sex,profession,hourly_salary,date_of_birth,weight,height,city_of_origin,last_seen,satisfaction_score,sleep_1,sleep_2,sleep_3
Gerald Roth,m,dentist,16.0,6/20/82,83.0,183.0,Los Angeles,2208-02-22,0.7586206896551725,8.9,8.7,8.3
Ryan Radcliffe,m,server,9.7,6/8/79,85.0,178.0,,,0.4942528735632184,7.8,8.7,8.1
Carol Walker,f,electrician,13.7,1/3/80,73.0,170.0,Sydney,2208-02-18,0.614942528735632,8.6,6.7,8.9
Gloria Roth,f,carpenter,14.1,3/11/90,81.0,172.0,Montreal,2208-02-14,0.7528735632183907,8.0,8.9,8.4
Jean Joyce,f,laborer,14.0,9/13/81,71.0,178.0,New York,2208-02-20,0.6379310344827586,9.4,8.9,7.3
Carolyn Potter,f,janitor,8.0,12/22/67,72.0,195.0,Vancouver,2208-02-21,0.27011494252873564,7.4,7.1,9.4
Alexis Clark,f,electrician,13.8,2/24/99,74.0,196.0,Sydney,2208-02-17,0.7873563218390806,9.0,7.5,7.2
Donald Williams,m,carpenter,14.0,5/3/84,71.0,167.0,Seattle,2208-02-24,0.7126436781609196,,7.6,7.9
Christine Griffin,f,janitor,,,74.0,188.0,Brisbane,2208-02-13,0.4540229885057471,7.6,9.1,8.0
Kenneth Banner,m,server,10.5,6/2/97,94.0,187.0,Sydney,2208-02-24,0.5287356321839081,9.1,8.4,7.3
Jordan Griffin,m,police officer,14.3,12/15/77,90.0,,Toronto,2208-02-13,0.6896551724137933,7.9,8.7,8.1
Kathryn Roth,f,cashier,9.8,3/20/60,74.0,161.0,Brisbane,2208-02-18,0.33333333333333337,6.5,8.0,6.9
Logan Burgess,m,carpenter,13.9,,77.0,173.0,Birmingham,2208-02-15,0.6494252873563219,9.5,7.8,7.1
Isabella Dickens,f,cashier,10.5,8/6/86,70.0,199.0,Sydney,2208-02-16,,10.2,7.3,9.4
Douglas Garcia,m,plant worker,10.0,11/5/78,91.0,168.0,New York,2208-02-23,0.39080459770114945,7.7,,7.9
Stephanie London,f,bartender,12.1,1/14/81,92.0,165.0,Birmingham,2208-02-21,0.6436781609195403,8.7,8.3,7.0
William Lawrence,m,cook,12.2,3/21/90,72.0,167.0,New York,2208-02-24,0.6436781609195402,10.1,8.3,7.9
,m,clerk,15.9,8/6/63,,162.0,New York,2208-02-19,0.7011494252873565,7.4,6.6,5.6
Emma Marquez,f,server,10.3,7/9/63,82.0,168.0,Birmingham,2208-02-23,0.37931034482758624,10.0,8.1,8.2
Scott Lee,m,,16.0,4/17/94,,183.0,London,2208-02-23,0.8850574712643678,6.4,,8.2
Ruth Woolf,f,police officer,14.5,11/19/85,65.0,187.0,Melbourne,,0.7471264367816092,7.9,9.1,6.0
Gerald Gallager,m,trader,,2/25/84,74.0,177.0,London,2208-02-15,0.7586206896551725,8.1,8.8,7.8
Daniel Bradbury,m,developer,14.0,3/11/69,75.0,181.0,Sydney,2208-02-21,0.5689655172413792,8.5,8.1,8.1
Cynthia Weasley,f,laborer,14.2,4/15/78,,198.0,Toronto,2208-02-18,0.6321839080459769,8.8,9.1,8.9
Danielle Brown,f,electrician,13.8,4/9/72,94.0,177.0,Brisbane,2208-02-20,0.5747126436781609,8.9,,
Nathan Thomas,m,carpenter,14.3,3/26/97,80.0,183.0,Birmingham,,0.7471264367816092,9.5,8.4,8.1
Grace Conrad,f,bookkeeper,15.8,2/24/69,78.0,191.0,Seattle,2208-02-23,0.7873563218390806,6.3,7.2,8.9
Sophia Gonzalez,f,server,10.0,8/2/61,92.0,173.0,,2208-02-22,0.40804597701149425,9.2,7.9,9.9
Patricia Robinson,f,manager,11.8,8/15/66,86.0,190.0,Montreal,2208-02-21,0.4827586206896552,8.3,6.0,7.8
Karen Anderson,f,plant worker,10.0,,84.0,191.0,Vancouver,2208-02-24,0.46551724137931033,7.9,6.5,8.8
Terry Clark,m,cook,12.0,11/25/76,76.0,,Melbourne,2208-02-22,0.5517241379310345,8.2,8.9,8.2
Rachel Wilson,f,bartender,11.7,4/5/95,81.0,166.0,Manchester,2208-02-24,0.7011494252873564,7.6,8.1,7.9
Albert Carry,m,trader,15.5,10/6/67,94.0,177.0,Brisbane,2208-02-20,0.7011494252873564,6.8,7.9,8.2
Natalie Joyce,f,cook,12.0,7/25/96,70.0,180.0,London,2208-02-21,0.6091954022988505,,8.9,8.4
Madison Bradbury,f,plant worker,9.9,9/28/73,71.0,167.0,London,2208-02-15,0.3563218390804598,9.1,8.3,
Sophia Dickens,f,cashier,10.5,2/13/69,67.0,181.0,Toronto,2208-02-21,0.48275862068965514,9.6,6.8,8.7
Samuel Gonzalez,m,,12.3,8/22/82,88.0,177.0,Melbourne,2208-02-24,0.603448275862069,6.7,7.8,9.5
Ashley Weasley,f,clerk,,5/16/69,,164.0,Sydney,2208-02-24,0.7126436781609196,7.4,8.5,5.9
Ralph Marquez,m,plant worker,9.8,8/8/98,67.0,177.0,Seattle,2208-02-16,0.49425287356321845,7.1,9.6,8.0
Catherine Harris,f,cook,11.8,4/6/68,69.0,194.0,Brisbane,2208-02-21,0.5517241379310345,8.1,8.5,9.1
Kelly Jackson,f,electrician,13.7,3/20/70,73.0,188.0,London,2208-02-24,0.614942528735632,9.1,9.2,7.6
Frank Kafka,m,,9.9,10/6/73,68.0,,Los Angeles,2208-02-24,0.41379310344827586,7.8,7.9,8.2
Ralph Heller,m,bookkeeper,15.8,1/13/80,93.0,161.0,Brisbane,2208-02-24,0.8505747126436782,9.0,7.9,9.3
Larry Joyce,m,server,9.8,5/15/63,79.0,182.0,,2208-02-24,0.35057471264367823,8.8,8.4,9.4
,m,bookkeeper,15.7,1/4/66,90.0,,Montreal,2208-02-24,0.7068965517241378,5.7,7.4,8.0
Janice Fitzgerald,f,cashier,10.3,8/13/85,88.0,191.0,,2208-02-24,0.5057471264367817,8.1,6.6,7.7
Lawrence Taylor,m,,13.5,10/8/89,89.0,189.0,Los Angeles,2208-02-24,0.7701149425287357,7.8,9.5,7.9
Janice Taylor,f,laborer,13.9,10/3/76,88.0,168.0,Vancouver,2208-02-19,0.6609195402298851,8.3,9.2,7.8
Denise Granger,f,police officer,14.0,,92.0,187.0,Seattle,2208-02-24,0.6839080459770115,8.0,9.6,7.9
David Hall,m,clerk,15.5,7/10/72,87.0,176.0,Los Angeles,2208-02-24,0.6724137931034483,7.8,9.4,
Christopher Roth,m,cashier,10.2,12/28/90,71.0,193.0,London,2208-02-15,0.471264367816092,7.6,7.6,7.6
Diana Cobain,,cashier,10.3,1/6/98,70.0,185.0,Toronto,2208-02-22,0.5804597701149425,5.9,7.9,7.8
Jacqueline Weasley,f,bookkeeper,16.2,10/10/78,81.0,195.0,Seattle,2208-02-24,0.7471264367816091,8.0,6.9,8.5
Angela Laurie,f,clerk,16.1,7/25/87,92.0,173.0,Brisbane,2208-02-17,0.9080459770114943,9.7,6.5,8.9
Anthony Davis,m,developer,14.0,2/11/98,86.0,187.0,,2208-02-18,0.7356321839080459,7.9,6.6,9.5
Teresa Laurie,f,clerk,16.3,,73.0,199.0,Los Angeles,2208-02-13,0.6666666666666667,8.3,7.2,
Gerald Mercury,m,manager,12.0,9/9/74,70.0,172.0,New York,,0.5402298850574713,7.7,7.6,8.0
Sara Cobain,f,,13.7,6/21/97,93.0,175.0,Vancouver,2208-02-21,0.7701149425287356,6.4,9.7,7.4
Samuel Potter,m,electrician,14.3,12/17/62,66.0,189.0,New York,2208-02-12,0.6609195402298853,9.0,6.8,7.4
,f,electrician,14.0,6/18/69,71.0,179.0,Vancouver,2208-02-15,0.5689655172413792,9.0,7.9,6.3
Brenda Wright,f,laborer,14.1,7/16/82,78.0,171.0,London,2208-02-21,0.7068965517241379,7.9,7.3,7.7
Emma Salinger,f,electrician,14.0,6/25/63,66.0,176.0,Montreal,2208-02-17,0.5919540229885056,8.3,7.6,9.1
Zachary Williams,m,cashier,9.5,7/18/60,,169.0,Manchester,2208-02-24,0.31609195402298845,8.0,10.4,9.0
Shirley Potter,f,laborer,13.5,8/3/81,94.0,184.0,,2208-02-12,0.6091954022988506,9.8,6.6,8.8
Bruce Maddison,m,trader,15.1,11/20/63,84.0,186.0,Seattle,,0.6551724137931035,7.9,7.6,8.1
Walter Banner,m,carpenter,14.5,5/17/87,87.0,,Toronto,2208-02-20,,,7.2,9.2
Louis Gilmour,m,cook,12.0,5/7/82,81.0,160.0,Los Angeles,2208-02-16,0.5862068965517242,8.4,8.6,8.3
Charles Anderson,m,,15.5,5/4/93,84.0,185.0,Toronto,2208-02-24,,7.5,8.6,7.6
Nicole McConaughey,f,developer,13.9,9/24/96,67.0,179.0,Sydney,,0.7758620689655173,9.1,10.1,7.6
Rachel Lennon,f,server,,9/27/82,69.0,167.0,Brisbane,2208-02-14,0.5287356321839081,7.5,10.5,6.1
Charles Miller,m,carpenter,13.9,,79.0,165.0,Brisbane,2208-02-24,0.603448275862069,6.3,7.8,8.3
Roy Rodriguez,m,clerk,16.0,10/1/74,92.0,165.0,Vancouver,2208-02-22,0.7126436781609196,7.9,9.3,8.4
Pamela Granger,f,manager,12.1,4/15/80,91.0,196.0,Birmingham,2208-02-12,0.5229885057471264,7.9,6.3,7.9
,f,carpenter,13.9,,66.0,160.0,Seattle,2208-02-17,0.6091954022988506,6.8,8.5,8.1
Lawrence Conrad,m,clerk,16.0,6/20/97,94.0,198.0,Seattle,2208-02-16,0.8448275862068966,5.9,6.8,7.1
Lauren Johnson,f,,10.5,2/10/85,75.0,179.0,Montreal,2208-02-13,0.4597701149425288,8.9,9.1,6.2
Amy Radcliffe,f,clerk,15.8,11/7/73,89.0,199.0,London,2208-02-20,0.7528735632183908,8.4,7.2,8.7
Richard Radcliffe,m,janitor,8.0,,79.0,163.0,Melbourne,2208-02-24,0.339080459770115,8.6,8.2,6.7
Amanda Roth,f,,10.0,11/10/91,66.0,194.0,Seattle,2208-02-20,0.5804597701149425,8.3,8.5,7.3
Shirley Vonnegut,f,bookkeeper,16.5,,74.0,167.0,,2208-02-14,0.82183908045977,8.8,7.9,7.2
Lawrence McConaughey,m,police officer,14.0,12/6/70,91.0,178.0,Montreal,2208-02-22,0.5747126436781609,6.6,6.9,9.6
Jeffrey Williams,m,janitor,8.5,2/27/79,86.0,188.0,Montreal,2208-02-23,0.42528735632183906,6.3,8.5,7.8
Evelyn Bradbury,f,carpenter,13.9,12/9/75,89.0,177.0,Sydney,2208-02-15,0.5977011494252874,7.2,8.7,8.7
Ryan Heller,m,bookkeeper,15.5,5/21/61,93.0,199.0,Manchester,2208-02-15,,9.0,7.9,
Randy Dreiser,m,carpenter,14.0,6/9/79,69.0,166.0,Sydney,2208-02-13,0.6264367816091954,7.3,7.5,9.6
Dennis McConaughey,m,bartender,12.0,11/2/85,66.0,177.0,Brisbane,2208-02-20,0.5459770114942529,,7.4,6.7
Samantha Granger,f,laborer,13.7,,,194.0,Melbourne,2208-02-22,0.5689655172413792,7.7,9.3,8.9
Roy Morrison,m,cook,12.0,3/4/87,91.0,,London,2208-02-24,0.557471264367816,,8.5,8.3
Isabella Hall,f,cook,12.5,2/14/85,94.0,195.0,Melbourne,2208-02-19,0.632183908045977,7.1,6.8,8.2
Joyce Granger,f,cashier,10.0,5/4/86,,180.0,Montreal,2208-02-17,0.4367816091954023,9.4,7.3,8.3
Melissa Johnson,f,developer,14.3,7/18/82,66.0,162.0,Melbourne,2208-02-22,0.7183908045977013,8.4,7.9,8.2
Alice Dickens,,electrician,13.7,1/17/87,74.0,186.0,Brisbane,2208-02-22,0.7701149425287356,7.8,9.0,8.3
,m,bartender,12.5,8/11/81,73.0,163.0,New York,2208-02-23,0.6091954022988506,7.6,7.5,9.2
Theresa Dickens,f,,13.8,8/13/90,68.0,166.0,Vancouver,2208-02-24,0.6781609195402298,6.9,6.8,7.7
Judy Marquez,,cook,12.5,4/21/99,93.0,176.0,Sydney,2208-02-24,0.7701149425287357,7.8,7.1,7.6
Jean Maddison,f,bookkeeper,16.0,7/6/95,70.0,183.0,Brisbane,2208-02-17,0.9482758620689656,9.5,6.6,7.6
Virginia White,f,trader,14.5,9/20/69,,166.0,Sydney,2208-02-24,0.6551724137931034,6.3,7.8,6.9
Arthur Potter,m,cook,12.0,1/3/77,73.0,160.0,Sydney,2208-02-13,0.6149425287356323,7.3,7.8,7.4
Julie Williams,f,electrician,14.0,6/8/67,93.0,170.0,Birmingham,2208-02-20,0.557471264367816,8.8,8.9,7.7
Helen London,f,trader,15.5,1/6/79,82.0,187.0,New York,2208-02-12,0.7126436781609196,6.4,8.1,5.6
Jose Hansen,m,gardener,10.0,8/16/79,74.0,176.0,Melbourne,2208-02-24,0.39655172413793105,8.9,9.0,8.6
Teresa Lennon,f,server,9.8,2/10/77,88.0,190.0,Brisbane,2208-02-13,0.4310344827586208,8.5,7.0,8.0
Barbara Proust,f,electrician,14.5,11/7/93,67.0,169.0,,2208-02-24,0.793103448275862,,7.2,9.1
Jennifer Weasley,f,carpenter,13.7,7/4/79,65.0,162.0,London,2208-02-18,0.6666666666666666,7.2,8.8,8.3
Gregory Moore,m,server,10.2,11/8/96,86.0,196.0,Los Angeles,2208-02-24,0.6206896551724138,7.3,6.7,6.5
Kelly Griffin,f,gardener,10.5,11/25/97,,172.0,Birmingham,2208-02-22,0.5862068965517242,8.1,7.9,7.2
Deborah Moore,f,bookkeeper,15.7,7/3/84,68.0,,Toronto,2208-02-24,0.7528735632183907,8.9,8.1,8.4
Patrick Conrad,m,,10.5,4/2/93,,174.0,Sydney,2208-02-24,0.6206896551724138,9.2,7.9,9.1
Lauren Orwell,f,developer,13.8,,87.0,199.0,,2208-02-13,0.7816091954022989,9.0,8.1,8.5
Paul Griffin,m,trader,15.0,1/26/71,74.0,184.0,London,2208-02-24,0.6954022988505747,8.3,8.7,9.4
Lawrence Vonnegut,m,server,9.9,7/11/89,70.0,181.0,Manchester,2208-02-20,0.5057471264367817,8.9,8.3,8.4
Jack Taylor,m,carpenter,14.0,3/17/98,74.0,168.0,Brisbane,2208-02-24,0.7356321839080459,7.5,8.4,7.6
Keith Anderson,m,,16.0,6/11/92,78.0,,Vancouver,2208-02-24,0.8160919540229885,8.5,8.6,
Andrea McConaughey,f,,10.5,10/27/97,89.0,199.0,Toronto,2208-02-22,0.5862068965517242,7.8,7.9,9.3
Kelly Harris,f,psychologist,16.5,3/7/95,83.0,170.0,Brisbane,2208-02-24,0.8620689655172412,8.8,9.9,8.9
,m,police officer,14.3,1/1/63,79.0,163.0,Toronto,2208-02-18,0.6091954022988506,9.6,8.5,9.0
Deborah Potter,f,carpenter,13.9,3/8/84,78.0,161.0,New York,2208-02-16,0.7643678160919541,7.8,8.8,7.9
Janice Joyce,f,electrician,14.0,12/26/63,85.0,196.0,Melbourne,2208-02-16,,7.9,7.6,9.7
Jonathan Hernandez,m,clerk,15.5,3/4/82,93.0,168.0,Los Angeles,2208-02-19,0.7873563218390806,8.5,10.0,7.8
Patrick Rodriguez,m,carpenter,14.0,6/22/91,65.0,186.0,Vancouver,2208-02-19,0.6954022988505746,8.5,,9.1
Jeffrey Mercury,m,server,10.0,9/24/82,83.0,183.0,Manchester,2208-02-24,0.5287356321839081,6.1,8.9,9.3
Roy Brown,m,bartender,11.8,7/16/88,88.0,,Manchester,2208-02-15,0.6666666666666667,8.4,10.1,8.3
Albert Walker,m,plant worker,,11/17/73,68.0,181.0,Los Angeles,2208-02-20,0.4367816091954023,8.4,8.5,
Carolyn Thomas,f,electrician,14.0,11/5/73,94.0,195.0,,2208-02-24,0.5919540229885056,7.5,8.0,6.4
Arthur Granger,m,clerk,15.7,8/12/76,70.0,180.0,New York,2208-02-24,0.82183908045977,8.2,7.0,10.6
Megan Harris,f,developer,13.9,8/12/90,94.0,183.0,Melbourne,2208-02-16,0.7413793103448276,7.5,9.8,
Elizabeth Gonzalez,f,developer,14.0,5/14/64,81.0,189.0,Toronto,2208-02-23,0.5402298850574713,7.1,7.6,8.0
Ryan Proust,m,trader,15.0,7/23/91,,199.0,Birmingham,2208-02-23,0.7528735632183907,7.8,6.6,9.0
Olivia Smith,f,plant worker,10.0,7/24/72,80.0,165.0,Vancouver,2208-02-14,0.3563218390804598,8.0,7.8,7.9
,f,bookkeeper,16.0,7/4/60,85.0,172.0,Manchester,,0.632183908045977,7.8,8.6,9.8
Bryan Miller,m,cashier,10.2,,65.0,162.0,Toronto,2208-02-23,0.39080459770114945,7.7,6.1,6.5
Russell Thomas,m,trader,,2/16/97,92.0,195.0,Montreal,2208-02-20,0.9195402298850576,8.5,,8.9
Bryan Lee,m,plant worker,10.0,10/9/85,75.0,171.0,New York,,0.4310344827586207,6.3,7.8,5.4
Ryan Watson,m,laborer,13.5,7/16/93,80.0,176.0,Montreal,2208-02-21,0.6781609195402298,7.3,8.0,6.7
Diane Hansen,f,laborer,14.0,9/5/60,69.0,161.0,Melbourne,2208-02-13,0.5172413793103448,7.8,8.2,6.7
Judy Johnson,f,cook,12.0,9/12/79,79.0,190.0,Toronto,2208-02-21,0.6264367816091955,7.7,7.3,8.3
Gloria Hernandez,f,trader,15.0,5/5/92,76.0,161.0,New York,2208-02-17,0.8735632183908046,6.7,9.5,8.9
Kelly Vonnegut,f,cook,12.2,11/21/69,88.0,199.0,Seattle,2208-02-24,0.5804597701149425,9.9,7.3,7.0
Stephen Vonnegut,m,cook,12.0,12/18/68,76.0,193.0,New York,2208-02-16,0.5632183908045977,7.3,9.0,8.0
Jennifer Laurie,f,carpenter,14.1,,86.0,177.0,Seattle,2208-02-14,0.8045977011494252,7.0,9.1,8.3
Jose Hernandez,m,server,10.0,11/3/70,85.0,174.0,Birmingham,2208-02-19,0.3448275862068965,8.7,7.6,8.5
Jacob Johnson,m,manager,12.1,12/18/94,,196.0,London,2208-02-24,0.660919540229885,,7.8,7.5
Henry Bradbury,m,bookkeeper,16.2,8/17/97,71.0,179.0,Toronto,2208-02-20,0.9712643678160919,9.0,7.8,7.1
Kelly Brown,f,trader,15.5,8/19/78,78.0,,Manchester,2208-02-23,0.764367816091954,9.9,7.7,8.8
Aaron Thompson,m,clerk,15.9,7/5/71,75.0,169.0,Vancouver,2208-02-21,0.689655172413793,8.5,8.4,7.6
Nancy Maddison,f,electrician,14.0,7/21/91,87.0,169.0,Toronto,2208-02-24,0.6954022988505746,9.1,7.6,8.9
Matthew Anderson,m,bartender,12.0,1/18/95,92.0,183.0,Toronto,2208-02-23,0.6034482758620688,8.7,8.2,7.8
Keith Golding,m,,12.3,11/11/81,83.0,192.0,Sydney,,0.5402298850574713,7.3,5.8,8.8
Robert Nabokov,m,cashier,9.7,6/18/66,72.0,,New York,2208-02-14,0.4195402298850574,7.9,7.3,7.3
Patrick Lee,m,electrician,14.1,7/20/68,73.0,185.0,Seattle,2208-02-22,0.5689655172413792,8.8,,8.6
Eric Joyce,m,police officer,13.7,11/19/95,77.0,170.0,Vancouver,2208-02-13,0.8160919540229885,10.1,7.8,7.0
Kathleen Laurie,f,bartender,11.5,11/11/65,71.0,178.0,New York,2208-02-24,0.4597701149425287,8.4,8.1,
Shirley Weasley,f,server,9.7,7/12/84,90.0,163.0,Melbourne,2208-02-24,0.46551724137931033,6.7,8.5,7.4
,f,gardener,10.0,2/13/76,73.0,178.0,Melbourne,2208-02-24,0.37931034482758624,7.2,8.1,6.8
Jean Bradbury,,plant worker,10.1,1/5/66,78.0,178.0,London,2208-02-24,0.3275862068965517,6.8,8.5,9.1
Carl Thompson,m,carpenter,14.0,6/19/77,77.0,167.0,Seattle,2208-02-20,0.7298850574712644,7.8,9.7,8.1
Marilyn Vonnegut,f,clerk,16.5,8/4/60,76.0,184.0,Sydney,2208-02-20,0.7758620689655173,7.3,9.8,7.8
Frances Orwell,f,carpenter,13.7,5/12/87,90.0,183.0,New York,2208-02-21,0.7701149425287356,8.8,9.6,8.1
Jeffrey Brown,,plant worker,10.3,3/26/99,65.0,167.0,Toronto,,0.6436781609195403,8.2,7.8,7.6
Jeremy Mikkelsen,m,police officer,13.5,6/16/94,75.0,180.0,Seattle,2208-02-24,0.7413793103448276,7.6,8.4,6.9
Victoria Taylor,f,clerk,16.0,3/8/98,87.0,186.0,London,2208-02-23,0.9655172413793104,9.8,6.9,7.8
Brian Griffin,m,plant worker,10.2,5/11/81,91.0,199.0,Vancouver,2208-02-23,0.4195402298850575,8.3,7.7,9.1
Patrick Heller,m,carpenter,14.2,3/10/72,71.0,176.0,Manchester,2208-02-24,0.5977011494252873,8.1,8.7,7.7
Aaron Holmes,m,plant worker,10.5,12/19/96,79.0,193.0,Los Angeles,2208-02-18,0.5804597701149425,7.2,9.1,
Janice Martinez,f,clerk,16.3,8/25/69,93.0,171.0,Brisbane,2208-02-24,0.8160919540229886,6.1,7.7,9.5
Brenda Lopez,,server,9.5,12/21/60,76.0,164.0,,2208-02-16,0.37356321839080453,7.7,9.4,9.3
Judy Roth,f,cook,12.1,7/25/83,87.0,180.0,London,2208-02-23,0.5977011494252874,7.5,,9.9
,f,carpenter,,2/8/99,83.0,180.0,New York,2208-02-14,0.8735632183908048,8.1,7.6,6.8
Stephen Hansen,m,plant worker,9.8,10/24/62,88.0,182.0,New York,2208-02-17,0.34482758620689663,8.1,8.3,8.1
,f,clerk,16.5,8/21/82,71.0,175.0,Montreal,2208-02-24,0.9022988505747127,6.5,7.5,8.3
Hannah Orwell,f,manager,12.1,2/20/62,83.0,162.0,Toronto,2208-02-17,,9.1,9.1,7.7
Samantha Nabokov,f,police officer,14.0,2/20/65,88.0,186.0,Brisbane,2208-02-13,0.660919540229885,8.4,8.5,
Raymond Weasley,m,gardener,9.7,3/26/71,81.0,196.0,Seattle,2208-02-17,0.3333333333333333,7.2,8.0,8.6
Janice Martin,f,cashier,10.3,12/7/81,78.0,196.0,Melbourne,2208-02-22,0.5402298850574713,8.8,6.7,7.1
Peter Thomas,m,electrician,14.0,10/11/86,72.0,195.0,Sydney,2208-02-16,0.7816091954022988,7.3,5.5,6.6
Gregory Jagger,m,,15.0,4/19/94,69.0,176.0,Sydney,2208-02-13,0.8275862068965517,6.4,7.8,9.1
Jason Huxley,m,trader,15.5,10/15/70,84.0,197.0,Vancouver,2208-02-20,0.7758620689655173,9.7,8.3,8.4
Jason Maddison,,developer,,5/28/81,67.0,177.0,Birmingham,2208-02-17,0.6379310344827586,,6.8,8.1
Timothy Potter,m,cook,11.5,8/27/69,80.0,178.0,Seattle,2208-02-14,0.5402298850574712,9.4,8.9,4.9
Alice Lawrence,f,trader,15.3,6/18/81,84.0,199.0,Birmingham,2208-02-15,0.8275862068965518,9.2,9.3,7.1
Samuel Proust,m,laborer,,6/8/73,93.0,179.0,London,2208-02-24,0.5977011494252873,7.3,8.0,9.3
Victoria Lewis,f,carpenter,14.0,1/10/71,94.0,194.0,Sydney,2208-02-16,0.6379310344827586,8.8,7.7,6.8
Joseph Kafka,m,developer,13.5,5/3/88,87.0,169.0,Sydney,2208-02-15,0.7068965517241379,7.3,8.2,8.9
Keith Moore,m,carpenter,14.0,12/10/99,92.0,161.0,New York,2208-02-24,0.7988505747126436,9.2,8.4,7.5
Aaron Marquez,m,manager,12.2,10/7/76,94.0,192.0,Toronto,2208-02-13,0.5632183908045977,,6.7,8.4
George Lennon,m,manager,11.7,4/11/68,81.0,183.0,Birmingham,2208-02-15,0.5459770114942528,7.4,9.1,8.5
Susan Lewis,f,electrician,,12/6/99,85.0,166.0,New York,2208-02-22,0.8160919540229886,7.5,8.5,5.6
,m,server,9.5,1/16/75,70.0,164.0,Birmingham,2208-02-18,0.4597701149425287,,6.7,
Lisa Heller,f,clerk,16.0,3/22/61,94.0,192.0,Montreal,2208-02-13,0.6379310344827586,7.1,7.3,7.1
,f,server,10.0,10/2/86,76.0,194.0,Manchester,2208-02-23,0.4942528735632184,6.7,9.1,9.0
Michael Lewis,m,janitor,8.5,6/3/82,66.0,167.0,Melbourne,2208-02-20,0.3275862068965517,8.2,7.4,7.4
,f,police officer,14.5,5/6/92,,165.0,Vancouver,2208-02-20,0.8448275862068966,8.1,7.3,8.6
Raymond Thomas,m,cook,11.8,11/17/61,80.0,185.0,London,2208-02-17,0.5114942528735633,8.8,7.9,7.3
Michael Johnson,m,electrician,13.8,,77.0,188.0,Vancouver,2208-02-19,0.5344827586206898,6.6,8.7,7.9
Frances Fitzgerald,f,bookkeeper,16.0,8/19/71,77.0,196.0,Montreal,2208-02-24,0.7528735632183908,8.8,8.0,9.0
Keith Salinger,m,trader,14.7,9/24/64,94.0,160.0,New York,,0.6379310344827586,8.7,7.7,8.0
Victoria Robinson,f,electrician,14.0,6/7/85,85.0,183.0,Toronto,2208-02-22,0.7183908045977011,8.0,8.1,8.9
Lawrence Thomas,m,cook,11.7,6/25/90,75.0,189.0,London,2208-02-17,0.6724137931034483,8.7,7.3,9.4
Joshua Lawrence,m,electrician,14.2,11/16/81,67.0,173.0,Brisbane,,0.7068965517241379,,7.8,6.8
Pamela Anderson,f,carpenter,14.5,2/18/78,85.0,180.0,,2208-02-12,0.6494252873563218,7.9,6.9,7.0
Ryan Lennon,m,developer,14.5,5/2/75,,165.0,London,2208-02-14,0.689655172413793,9.7,8.1,8.3
Jerry Davis,m,police officer,14.0,3/24/72,78.0,193.0,Montreal,2208-02-14,0.586206896551724,10.0,7.2,8.2
Angela Lewis,f,laborer,14.0,3/2/97,76.0,194.0,Toronto,2208-02-19,0.7873563218390804,9.6,7.0,7.4
Cynthia Vonnegut,f,developer,14.0,8/9/60,91.0,173.0,Sydney,2208-02-24,0.6321839080459769,8.3,8.5,8.6
Zachary Gilmour,m,manager,12.0,2/1/82,70.0,185.0,London,2208-02-14,0.5287356321839081,9.9,9.2,8.4
Abigail Taylor,f,laborer,14.0,2/26/86,86.0,187.0,Sydney,2208-02-15,0.7816091954022988,5.3,6.8,7.4
Alan Woolf,m,laborer,14.1,6/15/80,77.0,171.0,,2208-02-22,,8.8,8.2,8.1
Rose Perez,f,developer,14.1,9/28/91,67.0,,Birmingham,2208-02-22,0.7586206896551724,7.8,7.4,7.4
Carl Nabokov,m,gardener,10.5,3/3/97,67.0,,Sydney,2208-02-24,0.5287356321839081,7.8,8.6,8.4
Arthur Holmes,m,bartender,11.8,8/8/79,67.0,168.0,Brisbane,2208-02-22,0.5000000000000001,8.3,7.6,7.4
Nancy Hansen,f,cook,12.5,,83.0,179.0,Los Angeles,2208-02-17,0.7126436781609196,9.9,8.3,8.9
Carl Thomas,m,,14.0,9/19/98,70.0,194.0,Montreal,2208-02-13,0.793103448275862,7.6,6.9,8.2
Raymond Hansen,m,developer,14.0,3/23/94,91.0,170.0,London,2208-02-18,0.8275862068965517,7.4,9.1,8.0
Gary Perez,m,janitor,8.0,3/9/89,69.0,169.0,Manchester,2208-02-15,0.39655172413793105,9.6,8.9,9.1
Julia Clark,f,cook,11.8,8/27/92,80.0,189.0,Brisbane,2208-02-23,0.632183908045977,8.6,8.3,7.3
Austin Griffin,m,manager,12.0,6/2/63,82.0,185.0,Sydney,2208-02-24,0.41954022988505746,7.2,9.3,7.6
Ruth Williams,f,bartender,12.0,10/3/76,89.0,185.0,Montreal,2208-02-22,0.6091954022988506,9.2,,9.4
,m,janitor,8.5,11/23/69,74.0,186.0,Los Angeles,2208-02-22,0.367816091954023,7.2,7.3,9.4
Michelle Roth,f,bartender,12.5,6/16/87,66.0,162.0,Montreal,2208-02-24,0.7011494252873565,9.5,8.1,9.5
Stephanie Jagger,,bookkeeper,16.0,,71.0,177.0,Birmingham,2208-02-22,0.7816091954022989,8.4,8.6,7.7
William McConaughey,m,server,10.0,1/24/73,93.0,185.0,Seattle,2208-02-12,0.41954022988505746,7.1,6.4,7.9
Nancy Holmes,f,cook,12.1,6/8/65,79.0,167.0,London,2208-02-16,0.5517241379310345,9.1,9.4,7.5
